DeviceID,DataSourceID,SiteID,DeviceType,avg(hours),count(Metric)
1054530426,843004523,4268260543,Inverter,13.608695652173912,69
1813996205,843004523,4268260543,Inverter,13.608695652173912,69
2813347560,2029517312,4268260543,Inverter,12.84,75
295405736,2029517312,4268260543,Inverter,12.84,75
1445851867,4209716632,4268260543,Inverter,13.0,74
2642158025,4209716632,4268260543,Inverter,13.0,74
1998618296,1020791452,4268260543,Inverter,13.205479452054794,73
3196668404,1020791452,4268260543,Inverter,13.205479452054794,73
3442435150,751692560,448861961,Inverter,14.0,3
4089010021,751692560,448861961,Inverter,14.0,3
738606937,751692560,448861961,Inverter,14.0,3
1998618296,1020791452,4268260543,Inverter,7.0,2
3196668404,1020791452,4268260543,Inverter,7.0,2
1998618296,1020791452,4268260543,Inverter,13.223880597014926,67
3196668404,1020791452,4268260543,Inverter,13.223880597014926,67
1445851867,4209716632,4268260543,Inverter,12.791666666666666,72
2642158025,4209716632,4268260543,Inverter,12.791666666666666,72
2813347560,2029517312,4268260543,Inverter,12.875,72
295405736,2029517312,4268260543,Inverter,12.875,72
1054530426,843004523,4268260543,Inverter,13.323076923076924,65
1813996205,843004523,4268260543,Inverter,13.323076923076924,65
3442435150,751692560,448861961,Inverter,8.0,1
4089010021,751692560,448861961,Inverter,8.0,1
1445851867,4209716632,4268260543,Inverter,7.0,19
2642158025,4209716632,4268260543,Inverter,7.0,19
1054530426,843004523,4268260543,Inverter,13.184615384615384,65
1813996205,843004523,4268260543,Inverter,13.184615384615384,65
1998618296,1020791452,4268260543,Inverter,13.17142857142857,70
3196668404,1020791452,4268260543,Inverter,13.17142857142857,70
2813347560,2029517312,4268260543,Inverter,12.76,75
295405736,2029517312,4268260543,Inverter,12.76,75
1445851867,4209716632,4268260543,Inverter,14.846153846153847,52
2642158025,4209716632,4268260543,Inverter,14.846153846153847,52
3442435150,751692560,448861961,Inverter,12.11111111111111,9
4089010021,751692560,448861961,Inverter,12.25,8
738606937,751692560,448861961,Inverter,12.0,10
1054530426,843004523,4268260543,Inverter,6.571428571428571,14
1813996205,843004523,4268260543,Inverter,6.571428571428571,14
2813347560,2029517312,4268260543,Inverter,11.380952380952381,63
295405736,2029517312,4268260543,Inverter,11.380952380952381,63
1445851867,4209716632,4268260543,Inverter,11.523809523809524,63
2642158025,4209716632,4268260543,Inverter,11.523809523809524,63
1998618296,1020791452,4268260543,Inverter,11.868852459016393,61
3196668404,1020791452,4268260543,Inverter,11.868852459016393,61
1054530426,843004523,4268260543,Inverter,13.357142857142858,42
1813996205,843004523,4268260543,Inverter,13.357142857142858,42
3442435150,751692560,448861961,Inverter,13.5,4
4089010021,751692560,448861961,Inverter,13.5,4
738606937,751692560,448861961,Inverter,13.5,4
2813347560,2029517312,4268260543,Inverter,22.0,9
295405736,2029517312,4268260543,Inverter,22.0,9
1054530426,843004523,4268260543,Inverter,22.0,9
1813996205,843004523,4268260543,Inverter,22.0,9
1998618296,1020791452,4268260543,Inverter,22.0,9
3196668404,1020791452,4268260543,Inverter,22.0,9
1445851867,4209716632,4268260543,Inverter,22.0,9
2642158025,4209716632,4268260543,Inverter,22.0,9
2813347560,2029517312,4268260543,Inverter,7.0,25
295405736,2029517312,4268260543,Inverter,7.0,25
1445851867,4209716632,4268260543,Inverter,7.794117647058823,34
2642158025,4209716632,4268260543,Inverter,7.794117647058823,34
1998618296,1020791452,4268260543,Inverter,7.0,22
3196668404,1020791452,4268260543,Inverter,7.0,22
3442435150,751692560,448861961,Inverter,9.0,4
4089010021,751692560,448861961,Inverter,8.8,5
738606937,751692560,448861961,Inverter,8.8,5
1054530426,843004523,4268260543,Inverter,13.418604651162791,43
1813996205,843004523,4268260543,Inverter,13.418604651162791,43
2813347560,2029517312,4268260543,Inverter,14.461538461538462,39
295405736,2029517312,4268260543,Inverter,14.461538461538462,39
1998618296,1020791452,4268260543,Inverter,14.378378378378379,37
3196668404,1020791452,4268260543,Inverter,14.378378378378379,37
1445851867,4209716632,4268260543,Inverter,15.785714285714286,28
2642158025,4209716632,4268260543,Inverter,15.785714285714286,28
3442435150,751692560,448861961,Inverter,14.285714285714286,7
4089010021,751692560,448861961,Inverter,14.166666666666666,6
738606937,751692560,448861961,Inverter,14.285714285714286,7
1054530426,843004523,4268260543,Inverter,21.5,12
1813996205,843004523,4268260543,Inverter,21.5,12
1998618296,1020791452,4268260543,Inverter,22.0,11
3196668404,1020791452,4268260543,Inverter,22.0,11
2813347560,2029517312,4268260543,Inverter,22.0,10
295405736,2029517312,4268260543,Inverter,22.0,10
1445851867,4209716632,4268260543,Inverter,22.0,10
2642158025,4209716632,4268260543,Inverter,22.0,10
1054530426,843004523,4268260543,Inverter,7.0,18
1813996205,843004523,4268260543,Inverter,7.0,18
1998618296,1020791452,4268260543,Inverter,7.0,22
3196668404,1020791452,4268260543,Inverter,7.0,22
2813347560,2029517312,4268260543,Inverter,7.0,25
295405736,2029517312,4268260543,Inverter,7.0,25
1445851867,4209716632,4268260543,Inverter,7.0,25
2642158025,4209716632,4268260543,Inverter,7.0,25
1445851867,4209716632,4268260543,Inverter,13.0,29
2642158025,4209716632,4268260543,Inverter,13.0,29
1054530426,843004523,4268260543,Inverter,13.0,29
1813996205,843004523,4268260543,Inverter,13.0,29
1998618296,1020791452,4268260543,Inverter,13.0,29
3196668404,1020791452,4268260543,Inverter,13.0,29
2813347560,2029517312,4268260543,Inverter,13.0,28
295405736,2029517312,4268260543,Inverter,13.0,28
3442435150,751692560,448861961,Inverter,13.5,2
4089010021,751692560,448861961,Inverter,13.5,2
738606937,751692560,448861961,Inverter,13.5,2
1445851867,4209716632,4268260543,Inverter,20.57894736842105,19
2642158025,4209716632,4268260543,Inverter,20.57894736842105,19
2813347560,2029517312,4268260543,Inverter,20.57894736842105,19
295405736,2029517312,4268260543,Inverter,20.57894736842105,19
1998618296,1020791452,4268260543,Inverter,20.57894736842105,19
3196668404,1020791452,4268260543,Inverter,20.57894736842105,19
1054530426,843004523,4268260543,Inverter,20.57894736842105,19
1813996205,843004523,4268260543,Inverter,20.57894736842105,19
1998618296,1020791452,4268260543,Inverter,7.0,21
3196668404,1020791452,4268260543,Inverter,7.0,21
2813347560,2029517312,4268260543,Inverter,7.0,26
295405736,2029517312,4268260543,Inverter,7.0,26
1054530426,843004523,4268260543,Inverter,7.0,2
1813996205,843004523,4268260543,Inverter,7.0,3
1445851867,4209716632,4268260543,Inverter,12.96,75
1054530426,843004523,4268260543,Inverter,13.830769230769231,65
2642158025,4209716632,4268260543,Inverter,11.68,75
1813996205,843004523,4268260543,Inverter,12.015625,64
1998618296,1020791452,4268260543,Inverter,13.48,50
3196668404,1020791452,4268260543,Inverter,13.54,50
2813347560,2029517312,4268260543,Inverter,13.428571428571429,49
295405736,2029517312,4268260543,Inverter,13.428571428571429,49
3442435150,751692560,448861961,Inverter,16.0,5
4089010021,751692560,448861961,Inverter,16.0,3
738606937,751692560,448861961,Inverter,16.0,3
